distance_km,estimated_duration_min,avg_speed_kmh,road_type_score,traffic_level,weather_risk,rainfall_mm,time_of_day,day_of_week,urban_density,accident_risk_score,construction_risk_score,elevation_variation,temperature_c,humidity,wind_speed_kmh,season,region_type,vehicle_load_factor,road_condition_label
249.11,203.17,73.57,0.64,0.42,0.43,5.93,morning_peak,sunday,0.26,0.4,0.16,29.3,11.48,0.69,20.36,autumn,regional,0.44,Good
249.43,178.56,83.81,0.78,0.42,0.5,6.58,midday,monday,0.36,0.37,0.2,22.4,7.92,0.64,22.6,autumn,regional,0.48,Good
80.94,106.92,45.42,0.45,0.46,0.51,3.57,midday,tuesday,0.52,0.45,0.2,17.66,11.89,0.64,19.99,autumn,suburban,0.23,Good
19.94,73.59,16.26,0.26,0.66,0.07,0.0,night,saturday,0.99,0.43,0.63,1.5,22.46,0.45,14.61,summer,urban,0.44,Moderate
280.45,226.29,74.36,0.7,0.6,0.52,6.79,afternoon_peak,monday,0.34,0.51,0.17,26.84,4.73,0.63,24.06,autumn,regional,0.53,Moderate
26.37,57.3,27.61,0.43,0.84,0.18,1.63,morning_peak,thursday,0.89,0.51,0.44,6.65,10.05,0.51,16.04,summer,urban,0.55,Moderate
270.86,252.27,64.42,0.69,0.64,0.62,2.91,morning_peak,monday,0.35,0.51,0.24,23.52,6.21,0.73,18.88,autumn,regional,0.53,Moderate
70.91,99.42,42.79,0.51,0.35,0.27,3.5,midday,sunday,0.55,0.41,0.19,17.61,18.04,0.5,19.39,spring,suburban,0.31,Excellent
234.04,176.89,79.38,0.88,0.44,0.03,0.05,midday,wednesday,0.2,0.28,0.31,25.64,15.04,0.47,18.45,summer,regional,0.47,Excellent
37.75,34.03,66.56,0.77,0.37,0.15,1.86,early_morning,thursday,0.49,0.38,0.46,1.0,25.31,0.48,11.06,summer,suburban,0.43,Excellent
152.06,142.8,63.89,0.93,0.52,0.61,3.62,morning_peak,friday,0.21,0.44,0.3,15.37,11.94,0.7,28.66,winter,regional,0.42,Good
20.86,25.2,49.66,0.59,0.79,0.3,2.01,morning_peak,wednesday,0.63,0.56,0.29,1.0,5.8,0.58,19.23,spring,suburban,0.44,Moderate
29.09,105.71,16.51,0.41,0.8,0.39,4.19,afternoon_peak,monday,0.74,0.66,0.34,6.22,18.84,0.66,11.22,summer,urban,0.47,Poor
44.04,64.65,40.87,0.52,0.8,0.04,1.65,morning_peak,tuesday,0.66,0.5,0.34,5.43,14.54,0.45,15.35,summer,suburban,0.49,Moderate
72.37,104.34,41.62,0.58,0.51,0.6,8.43,night,monday,0.41,0.48,0.21,15.9,-0.0,0.67,27.55,winter,suburban,0.46,Good
19.39,26.78,43.45,0.5,0.88,0.66,5.33,morning_peak,tuesday,0.52,0.62,0.12,10.93,3.51,0.71,24.78,winter,suburban,0.59,Poor
18.41,20.86,52.95,0.72,0.54,0.27,2.61,midday,tuesday,0.56,0.42,0.2,2.47,7.59,0.54,20.49,spring,suburban,0.39,Good
203.11,178.4,68.31,0.64,0.56,0.35,0.68,morning_peak,saturday,0.33,0.53,0.23,26.69,8.25,0.54,13.93,spring,regional,0.59,Good
144.38,112.76,76.83,0.87,0.48,0.61,4.05,evening,friday,0.39,0.56,0.31,15.2,6.77,0.73,23.7,winter,regional,0.4,Moderate
68.41,69.44,59.12,0.67,0.52,0.33,0.85,evening,friday,0.57,0.35,0.28,3.53,6.19,0.55,15.21,spring,suburban,0.48,Good
10.17,18.03,33.85,0.33,0.71,0.21,2.03,midday,thursday,0.9,0.45,0.27,1.0,8.61,0.5,16.65,spring,urban,0.54,Moderate
18.12,49.13,22.12,0.46,0.78,0.3,3.9,morning_peak,monday,0.8,0.53,0.15,8.46,16.67,0.57,13.4,spring,urban,0.52,Moderate
233.5,151.45,92.5,0.71,0.32,0.45,1.74,midday,monday,0.22,0.31,0.26,26.75,8.94,0.64,24.92,autumn,regional,0.35,Excellent
80.75,95.52,50.72,0.57,0.81,0.54,2.94,afternoon_peak,tuesday,0.57,0.59,0.22,2.06,-1.44,0.66,31.45,winter,suburban,0.52,Poor
124.23,89.58,83.21,0.8,0.58,0.15,1.27,afternoon_peak,wednesday,0.15,0.37,0.24,16.59,20.21,0.48,18.48,summer,regional,0.45,Good
18.81,46.67,24.18,0.51,0.68,0.3,2.4,early_morning,wednesday,0.71,0.37,0.16,4.15,9.52,0.61,19.0,spring,urban,0.44,Moderate
93.64,81.78,68.7,0.89,0.39,0.5,4.03,midday,friday,0.2,0.26,0.24,7.38,9.35,0.7,20.54,autumn,regional,0.24,Excellent
16.66,30.83,32.43,0.44,0.77,0.49,4.26,evening,wednesday,0.74,0.49,0.19,1.0,10.41,0.63,28.29,autumn,urban,0.43,Poor
96.01,68.8,83.73,0.75,0.46,0.23,2.52,midday,monday,0.28,0.49,0.37,9.72,11.81,0.56,9.58,summer,regional,0.34,Excellent
114.89,84.44,81.64,0.71,0.63,0.33,3.27,morning_peak,tuesday,0.23,0.52,0.21,9.07,13.55,0.56,18.25,spring,regional,0.45,Good
20.65,66.35,18.67,0.48,0.71,0.32,4.05,early_morning,tuesday,0.9,0.5,0.3,10.93,2.39,0.58,10.53,spring,urban,0.44,Poor
118.9,112.61,63.35,0.94,0.56,0.41,2.13,morning_peak,friday,0.25,0.43,0.15,6.44,-2.37,0.61,30.82,winter,regional,0.38,Good
187.92,185.78,60.69,0.87,0.44,0.56,5.72,midday,tuesday,0.28,0.38,0.17,9.96,8.4,0.56,24.14,winter,regional,0.4,Good
125.33,82.78,90.84,0.87,0.29,0.12,0.29,midday,sunday,0.26,0.23,0.31,9.27,19.79,0.48,8.65,summer,regional,0.21,Excellent
256.99,236.45,65.21,0.96,0.31,0.3,3.3,midday,tuesday,0.14,0.32,0.34,28.72,10.81,0.63,16.5,summer,regional,0.38,Excellent
24.87,70.93,21.04,0.26,0.71,0.2,0.41,midday,tuesday,0.99,0.43,0.52,6.46,11.59,0.45,7.23,summer,urban,0.42,Good
4.22,8.87,28.54,0.38,0.95,0.09,0.0,morning_peak,tuesday,0.84,0.64,0.44,2.89,16.7,0.5,11.99,summer,urban,0.46,Moderate
264.31,285.12,55.62,0.93,0.6,0.64,7.64,afternoon_peak,monday,0.27,0.51,0.22,25.39,1.36,0.6,22.7,winter,regional,0.54,Moderate
200.53,205.02,58.69,0.8,0.48,0.45,2.39,afternoon_peak,wednesday,0.2,0.35,0.23,18.82,8.74,0.56,14.62,autumn,regional,0.44,Excellent
83.61,64.26,78.07,0.82,0.41,0.39,1.96,midday,wednesday,0.31,0.44,0.25,12.16,9.0,0.59,15.24,autumn,regional,0.31,Good
14.27,27.63,31.0,0.53,0.72,0.26,2.38,early_morning,wednesday,0.9,0.44,0.38,1.0,10.21,0.49,25.0,spring,urban,0.42,Moderate
16.94,19.75,51.47,0.66,0.88,0.48,3.4,afternoon_peak,wednesday,0.7,0.58,0.3,1.0,18.46,0.67,23.0,autumn,suburban,0.62,Moderate
70.65,73.16,57.94,0.88,0.66,0.3,3.75,morning_peak,wednesday,0.37,0.39,0.25,9.4,5.44,0.52,17.73,spring,regional,0.49,Good
256.33,188.9,81.42,0.66,0.05,0.36,3.93,midday,saturday,0.12,0.27,0.18,31.61,8.95,0.65,15.45,autumn,regional,0.24,Excellent
18.7,48.54,23.11,0.56,0.79,0.28,2.38,afternoon_peak,tuesday,0.77,0.47,0.44,8.04,17.69,0.42,11.75,summer,urban,0.54,Moderate
65.74,64.45,61.2,0.93,0.33,0.61,4.11,early_morning,friday,0.24,0.3,0.18,15.89,-3.0,0.7,16.96,winter,regional,0.34,Good
159.4,168.0,56.93,0.74,0.51,0.23,4.76,morning_peak,friday,0.13,0.3,0.39,13.33,21.38,0.55,13.08,summer,regional,0.46,Good
25.94,27.65,56.28,0.75,0.53,0.67,3.02,evening,thursday,0.54,0.57,0.34,5.7,0.39,0.66,32.42,winter,suburban,0.48,Moderate
66.04,78.95,50.19,0.65,0.73,0.41,4.66,midday,wednesday,0.7,0.51,0.3,3.37,11.78,0.68,24.81,autumn,suburban,0.56,Moderate
76.73,79.39,57.99,0.75,0.42,0.61,5.67,night,sunday,0.62,0.45,0.39,13.21,-2.72,0.79,21.78,winter,suburban,0.37,Good
11.55,35.82,19.35,0.52,0.57,0.18,0.9,evening,monday,0.79,0.33,0.42,3.24,18.38,0.48,8.92,summer,urban,0.42,Moderate
103.31,85.29,72.68,0.9,0.47,0.23,4.06,evening,tuesday,0.25,0.27,0.27,9.93,19.88,0.54,18.7,summer,regional,0.33,Excellent
209.59,158.38,79.4,0.8,0.49,0.6,1.97,early_morning,friday,0.32,0.32,0.35,21.17,-5.55,0.68,26.1,autumn,regional,0.61,Good
229.31,188.94,72.82,0.63,0.7,0.57,4.2,afternoon_peak,monday,0.39,0.5,0.27,30.13,3.05,0.72,23.74,winter,regional,0.56,Moderate
10.53,22.88,27.6,0.27,0.72,0.24,2.4,evening,friday,0.82,0.39,0.55,3.43,18.28,0.59,6.59,summer,urban,0.55,Moderate
245.63,174.85,84.29,0.91,0.63,0.16,0.62,morning_peak,wednesday,0.3,0.48,0.36,33.13,9.07,0.42,17.95,summer,regional,0.55,Good
8.82,22.55,23.46,0.39,0.92,0.61,4.79,afternoon_peak,sunday,0.9,0.57,0.28,5.71,3.94,0.7,24.49,winter,urban,0.55,Very Poor
226.34,163.16,83.23,0.65,0.41,0.63,2.47,afternoon_peak,sunday,0.26,0.45,0.22,21.72,4.1,0.74,29.87,winter,regional,0.4,Good
70.06,84.85,49.55,0.49,0.58,0.32,1.88,afternoon_peak,saturday,0.41,0.49,0.15,14.15,6.89,0.59,5.55,spring,suburban,0.41,Moderate
6.09,23.25,15.72,0.31,0.9,0.39,3.29,early_morning,monday,0.9,0.42,0.19,9.57,5.27,0.57,27.6,spring,urban,0.54,Poor
164.5,117.0,84.36,0.69,0.38,0.05,1.6,afternoon_peak,saturday,0.2,0.33,0.39,23.21,19.76,0.5,7.35,summer,regional,0.44,Moderate
266.27,246.9,64.71,0.98,0.45,0.14,1.54,midday,monday,0.26,0.43,0.32,14.8,20.14,0.54,12.35,summer,regional,0.4,Excellent
233.16,162.89,85.89,0.93,0.52,0.2,0.66,morning_peak,wednesday,0.23,0.32,0.32,34.71,19.46,0.49,17.42,summer,regional,0.48,Excellent
15.66,30.66,30.63,0.36,0.8,0.57,2.6,morning_peak,saturday,0.84,0.48,0.33,6.45,11.82,0.68,20.24,autumn,urban,0.44,Moderate
19.58,46.19,25.44,0.27,0.76,0.48,5.83,morning_peak,tuesday,0.86,0.54,0.32,6.21,4.76,0.67,19.33,autumn,urban,0.42,Poor
82.13,84.62,58.24,0.73,0.44,0.41,2.19,evening,wednesday,0.67,0.42,0.3,3.15,11.79,0.65,19.89,autumn,suburban,0.33,Good
36.63,61.71,35.62,0.62,0.59,0.48,5.42,evening,friday,0.59,0.45,0.34,8.43,0.84,0.65,12.0,autumn,suburban,0.42,Moderate
279.8,268.32,62.57,0.93,0.45,0.27,2.87,afternoon_peak,monday,0.17,0.36,0.28,24.13,21.52,0.53,18.18,summer,regional,0.53,Excellent
21.31,61.09,20.92,0.42,0.8,0.58,5.39,afternoon_peak,tuesday,0.8,0.56,0.32,7.05,-0.08,0.71,25.03,winter,urban,0.5,Poor
6.45,17.67,21.91,0.47,0.9,0.25,3.36,morning_peak,monday,0.68,0.59,0.48,4.81,8.36,0.54,10.59,summer,urban,0.59,Moderate
246.66,214.78,68.91,0.92,0.44,0.19,2.83,night,thursday,0.25,0.25,0.27,19.11,23.89,0.45,14.99,summer,regional,0.42,Excellent
18.91,57.91,19.6,0.54,0.95,0.2,0.83,afternoon_peak,friday,0.89,0.54,0.49,9.25,14.66,0.56,9.79,summer,urban,0.62,Moderate
13.08,15.27,51.42,0.44,0.61,0.26,1.02,morning_peak,thursday,0.47,0.45,0.36,11.63,24.21,0.56,16.99,summer,suburban,0.38,Good
30.21,42.75,42.4,0.48,0.51,0.16,2.84,midday,thursday,0.65,0.43,0.33,1.65,22.45,0.53,12.82,summer,suburban,0.43,Good
21.75,27.86,46.85,0.77,0.42,0.19,1.93,midday,monday,0.4,0.36,0.41,10.02,14.53,0.54,22.36,summer,suburban,0.41,Good
69.84,106.95,39.18,0.76,0.78,0.17,1.55,morning_peak,tuesday,0.57,0.45,0.37,12.56,20.29,0.48,20.31,summer,suburban,0.46,Moderate
234.25,177.77,79.06,0.62,0.42,0.26,1.56,morning_peak,sunday,0.12,0.41,0.44,26.06,19.52,0.58,16.12,summer,regional,0.37,Excellent
22.49,22.31,60.47,0.52,0.49,0.3,4.46,midday,saturday,0.61,0.36,0.26,1.0,11.66,0.62,17.22,spring,suburban,0.42,Good
68.06,79.83,51.16,0.45,0.54,0.49,3.72,early_morning,wednesday,0.45,0.43,0.13,16.88,8.65,0.67,23.77,autumn,suburban,0.46,Moderate
20.1,25.25,47.76,0.43,0.67,0.5,3.83,morning_peak,saturday,0.57,0.53,0.21,6.66,4.42,0.61,18.5,autumn,suburban,0.57,Moderate
20.76,44.1,28.24,0.5,0.73,0.65,5.41,evening,monday,0.94,0.48,0.32,13.73,4.94,0.69,17.55,autumn,urban,0.4,Poor
142.66,91.72,93.32,0.89,0.33,0.46,3.1,evening,sunday,0.38,0.33,0.21,20.29,1.24,0.59,28.78,winter,regional,0.34,Good
178.78,118.64,90.42,0.76,0.36,0.07,0.0,midday,friday,0.29,0.23,0.32,13.47,12.9,0.43,12.96,summer,regional,0.34,Excellent
61.89,105.68,35.14,0.6,0.51,0.42,2.34,early_morning,wednesday,0.62,0.46,0.27,7.71,10.94,0.62,22.98,autumn,suburban,0.35,Moderate
66.4,89.42,44.56,0.43,0.52,0.36,0.39,midday,friday,0.39,0.37,0.26,3.37,9.18,0.62,22.15,autumn,suburban,0.33,Good
69.53,117.74,35.43,0.72,0.54,0.55,4.27,night,friday,0.65,0.39,0.33,16.8,6.96,0.68,24.43,autumn,suburban,0.33,Good
25.17,94.45,15.99,0.47,0.89,0.35,3.66,morning_peak,wednesday,0.86,0.59,0.34,5.52,10.23,0.52,20.45,spring,urban,0.54,Poor
63.8,77.81,49.2,0.56,0.5,0.37,2.35,early_morning,wednesday,0.56,0.38,0.22,6.99,14.16,0.55,19.85,spring,suburban,0.36,Moderate
53.79,65.97,48.92,0.55,0.41,0.61,7.23,midday,wednesday,0.42,0.46,0.31,18.98,-0.39,0.72,11.47,winter,suburban,0.36,Good
212.6,169.03,75.46,0.73,0.6,0.64,7.5,morning_peak,tuesday,0.26,0.49,0.23,19.41,4.7,0.64,21.05,autumn,regional,0.5,Moderate
6.88,12.39,33.34,0.47,0.75,0.21,1.03,midday,wednesday,0.86,0.44,0.4,6.18,8.9,0.52,22.29,spring,urban,0.45,Moderate
21.72,29.1,44.78,0.62,0.57,0.54,3.87,early_morning,wednesday,0.61,0.57,0.19,10.87,-5.16,0.69,16.63,winter,suburban,0.38,Moderate
28.42,53.95,31.61,0.34,0.68,0.17,1.79,morning_peak,saturday,0.8,0.42,0.45,3.7,18.21,0.48,23.06,summer,urban,0.35,Moderate
237.17,156.78,90.76,0.97,0.28,0.17,2.27,midday,tuesday,0.14,0.28,0.19,18.68,11.11,0.46,20.12,spring,regional,0.49,Excellent
20.76,62.33,19.98,0.47,1.0,0.36,3.37,morning_peak,thursday,0.91,0.62,0.36,5.65,1.43,0.6,19.22,autumn,urban,0.52,Moderate
4.58,9.99,27.5,0.55,0.86,0.43,1.72,afternoon_peak,thursday,0.82,0.54,0.37,12.3,4.84,0.59,26.66,autumn,urban,0.56,Moderate
19.08,59.26,19.31,0.36,0.85,0.59,3.95,afternoon_peak,monday,0.77,0.55,0.28,1.0,-3.68,0.68,21.94,winter,urban,0.43,Poor
27.84,116.06,14.39,0.4,0.9,0.32,2.75,midday,thursday,0.99,0.54,0.52,10.42,6.78,0.58,20.41,spring,urban,0.54,Poor
57.91,58.3,59.59,0.67,0.58,0.13,1.91,midday,monday,0.52,0.41,0.37,6.95,23.73,0.54,8.27,summer,suburban,0.37,Good
14.48,39.91,21.77,0.55,0.77,0.55,3.11,early_morning,monday,0.84,0.63,0.35,1.0,9.98,0.75,23.57,spring,urban,0.44,Moderate
53.45,73.37,43.71,0.43,0.72,0.15,0.0,afternoon_peak,thursday,0.46,0.47,0.34,10.85,20.81,0.57,20.75,summer,suburban,0.33,Moderate
80.84,53.92,89.95,0.92,0.44,0.4,1.49,midday,wednesday,0.39,0.47,0.17,5.82,7.75,0.58,19.2,spring,regional,0.36,Good
21.48,35.06,36.76,0.69,0.67,0.21,1.75,afternoon_peak,monday,0.57,0.4,0.22,6.74,9.29,0.53,23.01,spring,suburban,0.36,Moderate
156.57,120.68,77.84,0.95,0.57,0.38,1.52,morning_peak,tuesday,0.2,0.47,0.23,13.13,5.18,0.66,12.33,spring,regional,0.51,Good
7.97,26.97,17.72,0.31,0.69,0.55,2.92,midday,friday,0.73,0.42,0.31,1.0,3.59,0.7,21.06,autumn,urban,0.49,Moderate
91.21,76.14,71.88,0.73,0.35,0.38,4.01,midday,thursday,0.22,0.36,0.2,14.55,3.09,0.66,26.53,autumn,regional,0.34,Good
169.55,171.09,59.46,0.72,0.66,0.03,0.71,afternoon_peak,wednesday,0.39,0.41,0.44,24.59,17.86,0.49,11.63,summer,regional,0.59,Good
20.79,34.69,35.96,0.65,0.53,0.3,3.55,early_morning,tuesday,0.5,0.41,0.26,12.14,12.74,0.52,13.95,spring,suburban,0.43,Good
177.67,161.62,65.96,0.69,0.58,0.27,0.45,afternoon_peak,friday,0.23,0.39,0.28,18.4,5.67,0.6,24.93,spring,regional,0.5,Very Poor
49.19,51.39,57.44,0.71,0.55,0.65,5.98,midday,thursday,0.56,0.47,0.23,6.24,-5.35,0.77,17.03,winter,suburban,0.4,Moderate
71.66,51.41,83.64,0.74,0.36,0.57,1.98,evening,tuesday,0.13,0.41,0.18,15.42,2.64,0.74,24.28,winter,regional,0.39,Good
16.96,41.76,24.37,0.56,0.56,0.56,5.73,midday,saturday,0.82,0.44,0.32,6.55,0.89,0.65,22.34,winter,urban,0.43,Excellent
198.28,135.83,87.59,0.9,0.35,0.4,2.08,early_morning,friday,0.25,0.38,0.15,17.1,14.22,0.65,29.38,autumn,regional,0.43,Good
20.88,65.5,19.13,0.4,0.83,0.66,2.15,afternoon_peak,friday,0.9,0.55,0.31,16.78,-0.32,0.68,23.94,winter,urban,0.52,Poor
144.23,115.11,75.18,0.86,0.4,0.35,2.27,midday,wednesday,0.35,0.33,0.19,19.99,13.25,0.6,13.44,autumn,regional,0.37,Excellent
11.73,33.13,21.25,0.27,0.74,0.32,3.92,early_morning,monday,0.84,0.46,0.25,10.03,3.5,0.55,15.7,autumn,urban,0.52,Moderate
31.57,98.52,19.23,0.42,0.63,0.59,2.66,midday,monday,0.9,0.45,0.34,8.2,5.4,0.63,23.32,winter,urban,0.43,Moderate
139.15,109.14,76.5,0.94,0.55,0.54,5.39,afternoon_peak,saturday,0.27,0.42,0.16,14.7,14.28,0.7,13.02,autumn,regional,0.39,Good
24.29,30.03,48.53,0.76,0.63,0.61,8.02,midday,thursday,0.5,0.48,0.18,8.53,0.42,0.75,30.29,winter,suburban,0.48,Moderate
36.66,71.6,30.72,0.6,0.84,0.53,4.7,afternoon_peak,thursday,0.71,0.59,0.37,16.04,9.67,0.66,26.06,autumn,suburban,0.55,Moderate
71.95,59.78,72.22,0.69,0.41,0.44,2.61,evening,wednesday,0.27,0.27,0.23,12.31,10.93,0.65,15.95,spring,regional,0.3,Good
29.91,61.24,29.31,0.33,0.58,0.41,4.81,early_morning,sunday,0.91,0.42,0.24,11.81,9.19,0.62,13.84,spring,urban,0.4,Moderate
309.98,233.17,79.77,0.93,0.56,0.43,0.9,morning_peak,friday,0.22,0.41,0.12,31.07,14.21,0.69,30.1,autumn,regional,0.46,Good
68.21,80.14,51.07,0.57,0.58,0.49,3.85,evening,tuesday,0.64,0.51,0.2,4.73,8.72,0.68,21.09,autumn,suburban,0.33,Moderate
112.79,96.47,70.15,0.74,0.32,0.34,1.19,evening,saturday,0.34,0.31,0.25,1.0,9.25,0.62,21.53,spring,regional,0.4,Excellent
32.87,38.64,51.04,0.62,0.75,0.49,4.74,afternoon_peak,friday,0.65,0.7,0.29,8.08,3.39,0.78,23.61,autumn,suburban,0.51,Poor
137.28,116.1,70.95,0.76,0.53,0.43,5.34,afternoon_peak,monday,0.32,0.52,0.2,27.1,-2.26,0.62,24.53,winter,regional,0.42,Good
46.76,29.96,93.63,0.86,0.38,0.27,4.07,early_morning,monday,0.14,0.37,0.21,10.77,16.27,0.49,18.46,spring,regional,0.41,Good
214.16,171.47,74.94,0.89,0.53,0.54,5.51,afternoon_peak,tuesday,0.13,0.38,0.18,18.69,7.08,0.75,18.7,autumn,regional,0.47,Good
132.46,86.58,91.79,0.74,0.24,0.46,4.49,evening,saturday,0.37,0.28,0.23,10.81,4.71,0.68,20.04,autumn,regional,0.2,Excellent
108.84,95.19,68.6,0.79,0.65,0.56,5.92,morning_peak,tuesday,0.35,0.51,0.26,21.31,6.35,0.63,19.89,autumn,regional,0.36,Moderate
14.65,52.96,16.6,0.38,0.61,0.45,2.16,midday,saturday,0.92,0.5,0.29,1.0,8.97,0.61,23.84,autumn,urban,0.53,Moderate
81.38,113.69,42.95,0.74,0.6,0.09,1.88,afternoon_peak,thursday,0.43,0.39,0.33,15.06,14.81,0.55,5.91,summer,suburban,0.53,Good
196.1,132.07,89.09,0.81,0.3,0.49,1.64,midday,sunday,0.33,0.48,0.28,13.77,-0.72,0.7,27.71,winter,regional,0.3,Good
177.62,150.19,70.96,0.77,0.29,0.44,1.29,evening,thursday,0.21,0.4,0.19,17.35,8.77,0.64,8.71,spring,regional,0.3,Excellent
39.14,41.73,56.28,0.71,0.49,0.12,0.26,early_morning,tuesday,0.54,0.4,0.29,9.6,11.46,0.53,19.72,spring,suburban,0.41,Good
72.78,65.33,66.84,0.82,0.49,0.11,2.98,midday,friday,0.26,0.35,0.32,13.87,14.71,0.47,4.0,summer,regional,0.3,Excellent
29.47,81.96,21.57,0.26,0.6,0.28,3.34,evening,monday,0.85,0.35,0.39,10.62,17.16,0.63,12.93,summer,urban,0.44,Moderate
258.22,180.05,86.05,0.82,0.51,0.49,5.92,afternoon_peak,wednesday,0.19,0.46,0.13,30.91,9.36,0.63,15.83,autumn,regional,0.48,Good
91.16,83.04,65.87,0.76,0.63,0.18,2.4,morning_peak,wednesday,0.41,0.35,0.38,10.08,21.75,0.58,16.42,summer,regional,0.3,Good
186.58,141.8,78.94,0.77,0.47,0.22,1.55,night,monday,0.4,0.5,0.3,15.25,14.93,0.47,11.54,summer,regional,0.39,Good
18.56,32.29,34.48,0.47,0.56,0.44,4.05,night,monday,0.78,0.38,0.13,1.0,8.88,0.66,17.65,autumn,urban,0.31,Moderate
47.15,42.04,67.29,0.73,0.39,0.08,0.0,morning_peak,sunday,0.2,0.25,0.27,4.95,14.99,0.47,10.59,summer,regional,0.35,Excellent
29.06,39.36,44.3,0.72,0.4,0.4,1.55,midday,saturday,0.45,0.39,0.27,9.34,13.3,0.72,21.6,spring,suburban,0.34,Excellent
67.51,72.02,56.24,0.58,0.6,0.53,1.63,midday,wednesday,0.56,0.52,0.25,4.17,-3.3,0.74,21.15,winter,suburban,0.43,Moderate
6.17,23.24,15.92,0.27,0.7,0.37,1.64,morning_peak,wednesday,0.72,0.34,0.36,8.49,16.18,0.63,14.98,summer,urban,0.45,Moderate
222.41,202.23,65.99,0.9,0.6,0.48,3.68,morning_peak,wednesday,0.35,0.5,0.23,21.0,7.04,0.69,26.4,autumn,regional,0.42,Moderate
12.1,28.82,25.19,0.47,0.72,0.42,4.12,midday,friday,0.88,0.42,0.37,1.0,13.27,0.54,20.22,autumn,urban,0.55,Moderate
175.95,147.64,71.51,0.92,0.53,0.41,4.74,afternoon_peak,friday,0.3,0.44,0.3,17.47,8.92,0.73,12.97,spring,regional,0.44,Good
31.87,90.87,21.05,0.52,0.69,0.19,0.8,night,tuesday,0.82,0.35,0.27,1.24,8.79,0.52,16.18,spring,urban,0.53,Moderate
11.51,27.57,25.04,0.48,1.0,0.6,3.68,afternoon_peak,thursday,0.98,0.67,0.31,1.0,7.12,0.71,20.5,autumn,urban,0.59,Poor
70.92,100.15,42.49,0.71,0.6,0.18,1.37,midday,wednesday,0.62,0.38,0.32,8.25,11.77,0.43,5.93,summer,suburban,0.37,Good
249.7,173.22,86.49,0.67,0.42,0.27,2.81,morning_peak,sunday,0.18,0.29,0.4,19.52,17.26,0.58,14.97,summer,regional,0.44,Excellent
24.65,26.72,55.37,0.66,0.58,0.47,5.7,evening,friday,0.66,0.53,0.27,8.69,11.69,0.67,23.53,autumn,suburban,0.43,Moderate
248.39,201.0,74.15,0.98,0.49,0.64,4.76,midday,wednesday,0.33,0.38,0.25,30.85,-5.74,0.72,23.19,winter,regional,0.41,Good
6.42,21.41,18.0,0.39,0.73,0.23,0.77,night,thursday,0.84,0.48,0.48,12.79,21.5,0.55,12.22,summer,urban,0.44,Moderate
61.06,41.93,87.38,0.8,0.21,0.22,1.17,midday,saturday,0.33,0.28,0.39,17.33,18.83,0.55,16.62,summer,regional,0.3,Excellent
50.15,41.01,73.38,0.86,0.36,0.4,0.84,midday,saturday,0.41,0.37,0.03,4.55,7.07,0.6,16.16,autumn,regional,0.28,Excellent
190.46,201.66,56.67,0.75,0.49,0.6,6.87,afternoon_peak,friday,0.19,0.45,0.21,18.94,-5.7,0.73,27.06,winter,regional,0.44,Good
11.42,21.81,31.44,0.5,0.72,0.2,0.16,midday,monday,0.9,0.43,0.49,1.0,11.14,0.49,15.49,summer,urban,0.53,Moderate
161.64,131.24,73.89,0.89,0.45,0.35,2.85,morning_peak,friday,0.23,0.36,0.25,16.46,11.48,0.52,19.81,spring,regional,0.48,Excellent
22.17,37.9,35.11,0.5,0.57,0.49,2.51,midday,saturday,0.73,0.52,0.37,6.67,4.69,0.63,23.08,autumn,urban,0.41,Good
136.85,116.46,70.5,0.65,0.22,0.58,6.3,evening,saturday,0.27,0.22,0.19,19.46,-5.52,0.72,25.85,winter,regional,0.15,Excellent
71.15,118.47,36.03,0.78,0.61,0.3,2.6,evening,friday,0.63,0.55,0.27,11.4,6.96,0.59,29.28,spring,suburban,0.48,Moderate
27.12,32.07,50.74,0.58,0.72,0.18,0.65,afternoon_peak,tuesday,0.41,0.52,0.25,9.04,11.62,0.57,15.86,spring,suburban,0.43,Good
30.03,60.19,29.94,0.55,0.96,0.24,0.94,afternoon_peak,wednesday,0.82,0.57,0.42,1.0,12.68,0.51,18.33,summer,urban,0.56,Moderate
8.85,23.03,23.05,0.52,0.85,0.58,2.51,midday,monday,0.93,0.57,0.29,7.65,-0.3,0.64,25.28,winter,urban,0.59,Poor
20.7,23.02,53.97,0.55,0.49,0.64,5.12,evening,monday,0.49,0.47,0.24,5.22,0.3,0.63,15.95,winter,suburban,0.34,Good
213.59,128.81,99.49,0.83,0.13,0.3,1.64,midday,sunday,0.13,0.24,0.19,19.62,8.7,0.61,22.56,spring,regional,0.28,Excellent
16.21,45.08,21.57,0.47,0.75,0.09,1.38,midday,thursday,0.95,0.47,0.36,8.18,21.36,0.56,16.44,summer,urban,0.47,Moderate
79.11,55.97,84.8,0.85,0.33,0.26,0.95,midday,sunday,0.38,0.26,0.45,10.85,13.51,0.51,17.42,summer,regional,0.23,Excellent
21.9,57.09,23.02,0.26,0.68,0.65,5.32,evening,tuesday,0.7,0.58,0.33,5.79,4.48,0.8,20.96,winter,urban,0.47,Moderate
27.39,86.84,18.92,0.31,0.69,0.25,2.74,night,tuesday,0.95,0.56,0.48,4.11,14.66,0.47,8.77,summer,urban,0.46,Moderate
